823459|Written on the Wind|1956|United States of America|VHS|Film|Written on the wind|No US rating|69605|The story of a decent love...that fought to live against the vice and immorality of an oil baron's wastrel family...and of the ugly secret that thrust their privates lives into public view!
841539|The View from the Edge|-1|NONE|VHS|Film|View from the edge|NONE|NONE|NONE
849076|Clean and Sober|1988|United States of America|VHS|Film|Clean and sober|No US rating|14441|Michael Keaton...in an unexpected film...about thirty remarkable days in the life of an ordinary man.
849269|The Dhimmis|-1|NONE|VHS|Film|Dhimmis|NONE|NONE|NONE
836367|Vital Statistics of a Citizen, Simply Obtained|-1|NONE|VHS|Film|Vital statistics of a citizen, simply obtained|NONE|NONE|NONE
841732|Trouble in Utopia|-1|NONE|VHS|Film|Trouble in utopia|NONE|NONE|NONE
839014|Thin Blue Line|1988|United States of America|VHS|Film|Thin blue line|No US rating|14285|NONE
842003|Schubert Schubert|-1|NONE|VHS|Film|Schubert|NONE|171652|NONE
842005|The Musical Capital|-1|NONE|VHS|Film|Musical capital|NONE|NONE|NONE
819997|Mama I'm Crying|-1|NONE|VHS|Film|Mama I'm crying|NONE|NONE|NONE
822680|Rien Que Les Heures. Berlin, Die Symphonie Der Grosstadt|-1|NONE|VHS|Film|Rien que les heures. Berlin, die Symphonie der Grosstadt|NONE|NONE|NONE
851528|Au Revoir Les Enfants|1987|France|VHS|Film|Au revoir les enfants|No US rating|1786|NONE
820321|Berlin Alexanderplatz|1980|NONE|VHS|Film|Berlin Alexanderplatz|NONE|45560|NONE
822807|Joseph Campbell and the Power of Myth|-1|NONE|VHS|Film|Joseph Campbell and the power of myth|NONE|NONE|NONE
828008|The Spy Who Came in from the Cold|1965|United Kingdom|VHS|Film|Spy who came in from the cold|No US rating|13580|BRACE YOURSELF FOR GREATNESS THE BOOK THE WORLD COULD NOT LAY DOWN IS NOW A MOTION PICTURE
801005|The Wild One|1953|United States of America|VHS|Film|Wild one|No US rating|28696|NONE
770318|The Red Shoes|1948|United Kingdom|VHS|Film|Red shoes|NR|19542|NONE
834201|Routes of Exile|-1|NONE|VHS|Film|Routes of exile|NONE|NONE|NONE
787512|The Diary of a Chambermaid|1946|NONE|VHS|Film|diary of a chambermaid|NONE|45212|NONE
804101|Fellini Satyricon|1969|France|VHS|Film|Fellini satyricon|No US rating|11163|NONE
810195|A Star Is Born|1937|United States of America|VHS|Film|Star is born|No US rating|22692|NONE
785170|Antony & Cleopatra|1981|NONE|VHS|Film|Antony & Cleopatra|NONE|106385|NONE
796934|Kustom Kar Kommandos ; Puce Moment ; Scorpio Rising|-1|NONE|VHS|Film|Kustom kar kommandos ; Puce moment ; Scorpio rising|NONE|NONE|NONE
807659|Boogie in Black & White|-1|NONE|VHS|Film|Boogie in black & white|NONE|NONE|NONE
785969|Chuck Davis Dancing Through West Africa|-1|NONE|VHS|Film|Chuck Davis dancing through West Africa|NONE|NONE|NONE
792011|The Merry Wives of Windsor|1982|NONE|VHS|Film|Merry wives of Windsor|NONE|119931|NONE
801809|The Story of the Last Chrysanthemum|1939|NONE|VHS|Film|Story of the last chrysanthemum|NONE|46069|NONE
801837|Oliver Twist|2005|Czech Republic|VHS|Film|Oliver Twist|PG-13|257|NONE
773850|I Never Sang for My Father|1970|NONE|VHS|Film|I never sang for my father|NONE|92283|NONE
776885|Cromwell Cromwell|1970|United Kingdom|VHS|Film|Cromwell|No US rating|31675|NONE
783211|The Shop around the Corner|1940|United States of America|VHS|Film|Shop around the corner|NR|20334|NONE
791704|Long Journey Home|-1|NONE|VHS|Film|Long journey home|NONE|NONE|NONE
805278|The Inauguration of the Pleasure Dome|1954|United States of America|VHS|Film|Inauguration of the pleasure dome|No US rating|43337|NONE
783449|On Common Ground|-1|NONE|VHS|Film|On common ground|NONE|NONE|NONE
795218|The Red Balloon|1956|France|VHS|Film|Red balloon|NR|15265|NONE
784201|Voices & Visions|-1|NONE|VHS|Film|Voices & visions|NONE|NONE|NONE
784788|A Streetcar Named Desire|1951|United States of America|VHS|Film|Streetcar named Desire|PG|702|NONE
780832|Anne of Green Gables|1985|NONE|VHS|Film|Anne of Green Gables|NONE|17663|NONE
798724|Maurice Maurice|1987|United Kingdom|VHS|Film|Maurice|R|26371|NONE
799926|Lulu in Berlin|1984|NONE|VHS|Film|Lulu in Berlin|NONE|197752|NONE
775101|More Than Bows & Arrows|-1|NONE|VHS|Film|More than bows & arrows|NONE|NONE|NONE
784196|The American Friend|1977|Germany|VHS|Film|American friend|No US rating|11222|NONE
784265|Voices & Visions|-1|NONE|VHS|Film|Voices & visions|NONE|NONE|NONE
798789|Incredible Florida|-1|NONE|VHS|Film|Incredible Florida|NONE|NONE|NONE
803182|A Report on the Party and the Guests|1966|Czech Republic|VHS|Film|Report on the party and the guests|No US rating|105348|NONE
794302|Ladybirds Ladybirds|2000|Estonia|VHS|Film|Ladybirds|No US rating|182121|NONE
809545|All's Well That Ends Well|1981|NONE|VHS|Film|All's well that ends well|NONE|106383|NONE
696022|Hand Carved|-1|NONE|VHS|Film|Hand carved|NONE|NONE|NONE
812247|Contemporary Theatre|-1|NONE|VHS|Film|Contemporary theatre|NONE|NONE|NONE
775650|Divine Horsemen|1985|United States of America|VHS|Film|Divine Horsemen|No US rating|38638|NONE
778737|Spirit to Spirit|1988|NONE|VHS|Film|Spirit to spirit|NONE|103673|NONE
784938|Maya Angelou|-1|NONE|VHS|Film|Maya Angelou|NONE|NONE|NONE
800707|The Garden of the Finzi-Continis|1970|Italy|VHS|Film|Garden of the Finzi-Continis|No US rating|4789|NONE
809783|The Merchant of Venice|2004|United Kingdom|VHS|Film|Merchant of Venice|No US rating|11162|NONE
703288|Koyaanisqatsi Koyaanisqatsi|1982|United States of America|VHS|Film|Koyaanisqatsi|No US rating|11314|Until now, you've never really seen the world you live in.
708897|Mon Oncle|1958|France|VHS|Film|Mon oncle|No US rating|427|NONE
721782|Interior Design, the New Freedom|-1|NONE|VHS|Film|Interior design, the new freedom|NONE|NONE|NONE
721784|Interior Design, the New Freedom|-1|NONE|VHS|Film|Interior design, the new freedom|NONE|NONE|NONE
701017|Ugetsu Ugetsu|1953|Japan|VHS|Film|Ugetsu|No US rating|14696|NONE
715510|Inside Fashion|2008|United States of America|VHS|Film|Inside fashion|No US rating|240058|NONE
721937|Interior Design, the New Freedom|-1|NONE|VHS|Film|Interior design, the new freedom|NONE|NONE|NONE
689385|A Man for All Seasons|1966|United Kingdom|VHS|Film|Man for all seasons|G|874|NONE
696026|Sunny Side of Life|-1|NONE|VHS|Film|Sunny side of life|NONE|NONE|NONE
718948|Inside New York's Art World|-1|NONE|VHS|Film|Inside New York's art world|NONE|NONE|NONE
712609|The Struggle of Coon Branch Mountain|-1|NONE|VHS|Film|struggle of Coon Branch Mountain|NONE|NONE|NONE
719204|Asian Nuns|-1|NONE|VHS|Film|Asian nuns|NONE|NONE|NONE
718933|Inside New York's Art World|-1|NONE|VHS|Film|Inside New York's art world|NONE|NONE|NONE
689574|Mishima Mishima|2012|Japan|VHS|Film|Mishima|No US rating|103870|NONE
709528|The Curse of the Cat People|1944|United States of America|VHS|Film|Curse of the cat people|No US rating|28436|NONE
712499|Napoleon Napoleon|1995|Japan|VHS|Film|Napoleon|G|44381|NONE
719167|Inside New York's Art World|-1|NONE|VHS|Film|Inside New York's art world|NONE|NONE|NONE
719173|Inside New York's Art World|-1|NONE|VHS|Film|Inside New York's art world|NONE|NONE|NONE
709587|A Rose for Emily|-1|NONE|VHS|Film|Rose for Emily|NONE|NONE|NONE
